date,FIPS,incidH
2015-10-10,GA,10.403847
2015-10-10,MD,12.037696
2015-10-10,MI,9.965265
2015-10-10,MN,0
2015-10-10,NM,0
2015-10-10,OH,11.655397
2015-10-10,OR,4.129803
2015-10-10,TN,6.709356
2015-10-10,UT,0
2015-10-10,CA,39.283497
2015-10-10,CO,0
2015-10-10,CT,7.150148
2015-10-17,CA,39.283497
2015-10-17,UT,0
2015-10-17,TN,6.709356
2015-10-17,OR,4.129803
2015-10-17,OH,11.655397
2015-10-17,MN,5.563378
2015-10-17,NM,2.092454
2015-10-17,MI,0
2015-10-17,MD,12.037696
2015-10-17,GA,10.403847
2015-10-17,CO,0
2015-10-17,CT,3.575074
2015-10-24,GA,0
2015-10-24,OH,11.655397
2015-10-24,MD,6.018848
2015-10-24,MI,0
2015-10-24,MN,0
2015-10-24,NM,0
2015-10-24,OR,4.129803
2015-10-24,TN,6.709356
2015-10-24,CO,5.610349
2015-10-24,CT,0
2015-10-24,UT,0
2015-10-24,CA,39.283497
2015-10-31,UT,0
2015-10-31,OR,0
2015-10-31,TN,6.709356
2015-10-31,OH,0
2015-10-31,MD,6.018848
2015-10-31,MI,0
2015-10-31,MN,5.563378
2015-10-31,NM,6.277362
2015-10-31,GA,10.403847
2015-10-31,CO,5.610349
2015-10-31,CT,0
2015-10-31,CA,0
2015-11-07,MD,12.037696
2015-11-07,MI,0
2015-11-07,MN,5.563378
2015-11-07,NM,0
2015-11-07,OH,11.655397
2015-11-07,OR,4.129803
2015-11-07,TN,13.418712
2015-11-07,UT,6.193696
2015-11-07,CO,0
2015-11-07,CT,3.575074
2015-11-07,GA,10.403847
2015-11-07,CA,39.283497
2015-11-14,CA,39.283497
2015-11-14,OR,0
2015-11-14,TN,0
2015-11-14,UT,0
2015-11-14,OH,23.310794
2015-11-14,NM,0
2015-11-14,MN,5.563378
2015-11-14,MI,9.965265
2015-11-14,MD,0
2015-11-14,GA,10.403847
2015-11-14,CT,0
2015-11-14,CO,5.610349
2015-11-21,GA,10.403847
2015-11-21,OH,0
2015-11-21,TN,0
2015-11-21,NM,4.184908
2015-11-21,MN,5.563378
2015-11-21,MI,0
2015-11-21,MD,12.037696
2015-11-21,OR,4.129803
2015-11-21,CO,5.610349
2015-11-21,CT,3.575074
2015-11-21,CA,39.283497
2015-11-21,UT,3.096848
2015-11-28,TN,6.709356
2015-11-28,OR,0
2015-11-28,OH,11.655397
2015-11-28,GA,10.403847
2015-11-28,MD,6.018848
2015-11-28,MI,0
2015-11-28,MN,0
2015-11-28,NM,4.184908
2015-11-28,CO,5.610349
2015-11-28,CT,3.575074
2015-11-28,CA,39.283497
2015-11-28,UT,3.096848
2015-12-05,NM,2.092454
2015-12-05,MI,0
2015-12-05,MN,5.563378
2015-12-05,MD,12.037696
2015-12-05,UT,3.096848
2015-12-05,OH,0
2015-12-05,OR,4.129803
2015-12-05,TN,6.709356
2015-12-05,CA,78.566994
2015-12-05,CO,0
2015-12-05,CT,7.150148
2015-12-05,GA,10.403847
2015-12-12,OH,0
2015-12-12,OR,0
2015-12-12,TN,6.709356
2015-12-12,MN,5.563378
2015-12-12,MD,6.018848
2015-12-12,MI,9.965265
2015-12-12,NM,0
2015-12-12,GA,10.403847
2015-12-12,CO,11.220698
2015-12-12,CT,7.150148
2015-12-12,UT,9.290544
2015-12-12,CA,78.566994
2015-12-19,OH,0
2015-12-19,MI,19.93053
2015-12-19,MN,5.563378
2015-12-19,NM,4.184908
2015-12-19,MD,18.056544
2015-12-19,OR,4.129803
2015-12-19,TN,6.709356
2015-12-19,UT,3.096848
2015-12-19,CA,39.283497
2015-12-19,CT,0
2015-12-19,GA,10.403847
2015-12-19,CO,11.220698
2015-12-26,TN,0
2015-12-26,OR,4.129803
2015-12-26,OH,0
2015-12-26,UT,15.48424
2015-12-26,NM,0
2015-12-26,MN,11.126756
2015-12-26,MI,9.965265
2015-12-26,MD,12.037696
2015-12-26,GA,10.403847
2015-12-26,CT,39.325814
2015-12-26,CO,16.831047
2015-12-26,CA,157.133988
2016-01-02,MN,11.126756
2016-01-02,MI,0
2016-01-02,NM,0
2016-01-02,GA,10.403847
2016-01-02,MD,12.037696
2016-01-02,TN,6.709356
2016-01-02,UT,12.387392
2016-01-02,OR,4.129803
2016-01-02,OH,0
2016-01-02,CA,117.850491
2016-01-02,CT,14.300296
2016-01-02,CO,33.662094
2016-01-09,TN,13.418712
2016-01-09,OH,11.655397
2016-01-09,OR,8.259606
2016-01-09,GA,10.403847
2016-01-09,NM,4.184908
2016-01-09,MN,11.126756
2016-01-09,MI,0
2016-01-09,MD,36.113088
2016-01-09,CT,17.87537
2016-01-09,CO,28.051745
2016-01-09,UT,40.259024
2016-01-09,CA,392.83497
2016-01-16,OH,11.655397
2016-01-16,GA,10.403847
2016-01-16,TN,0
2016-01-16,MD,6.018848
2016-01-16,MI,0
2016-01-16,MN,16.690134
2016-01-16,NM,4.184908
2016-01-16,OR,12.389409
2016-01-16,CO,22.441396
2016-01-16,CT,21.450444
2016-01-16,UT,21.677936
2016-01-16,CA,314.267976
2016-01-23,CA,196.417485
2016-01-23,UT,21.677936
2016-01-23,TN,13.418712
2016-01-23,OR,24.778818
2016-01-23,NM,4.184908
2016-01-23,MN,16.690134
2016-01-23,MI,19.93053
2016-01-23,MD,18.056544
2016-01-23,OH,11.655397
2016-01-23,GA,20.807694
2016-01-23,CT,42.900888
2016-01-23,CO,33.662094
2016-01-30,NM,10.46227
2016-01-30,MI,79.72212
2016-01-30,MD,12.037696
2016-01-30,MN,27.81689
2016-01-30,TN,26.837424
2016-01-30,OR,28.908621
2016-01-30,OH,11.655397
2016-01-30,CT,57.201184
2016-01-30,CO,50.493141
2016-01-30,GA,31.211541
2016-01-30,CA,392.83497
2016-01-30,UT,34.065328
2016-02-06,TN,20.128068
2016-02-06,MN,55.63378
2016-02-06,NM,14.647178
2016-02-06,MD,24.075392
2016-02-06,MI,99.65265
2016-02-06,OH,58.276985
2016-02-06,OR,45.427833
2016-02-06,UT,52.646416
2016-02-06,GA,52.019235
2016-02-06,CT,71.50148
2016-02-06,CO,50.493141
2016-02-06,CA,471.401964
2016-02-13,CA,746.386443
2016-02-13,MI,149.478975
2016-02-13,MN,61.197158
2016-02-13,NM,39.756626
2016-02-13,GA,62.423082
2016-02-13,MD,36.113088
2016-02-13,TN,53.674848
2016-02-13,UT,74.324352
2016-02-13,OH,23.310794
2016-02-13,OR,61.947045
2016-02-13,CO,72.934537
2016-02-13,CT,71.50148
2016-02-20,MD,90.28272
2016-02-20,MI,348.784275
2016-02-20,MN,139.08445
2016-02-20,OH,128.209367
2016-02-20,NM,54.403804
2016-02-20,OR,66.076848
2016-02-20,CO,112.20698
2016-02-20,CT,96.526998
2016-02-20,GA,145.653858
2016-02-20,TN,107.349696
2016-02-20,UT,130.067616
2016-02-20,CA,785.66994
2016-02-27,TN,114.059052
2016-02-27,NM,83.69816
2016-02-27,MN,205.844986
2016-02-27,MI,408.575865
2016-02-27,MD,120.37696
2016-02-27,OR,33.038424
2016-02-27,OH,186.486352
2016-02-27,UT,145.551856
2016-02-27,GA,187.269246
2016-02-27,CT,207.354292
2016-02-27,CO,123.427678
2016-02-27,CA,824.953437
2016-03-05,CA,942.803928
2016-03-05,OH,268.074131
2016-03-05,MN,272.605522
2016-03-05,NM,66.958528
2016-03-05,MI,288.992685
2016-03-05,TN,134.18712
2016-03-05,UT,170.32664
2016-03-05,OR,107.374878
2016-03-05,MD,186.584288
2016-03-05,GA,197.673093
2016-03-05,CT,232.37981
2016-03-05,CO,201.972564
2016-03-12,OR,94.985469
2016-03-12,UT,173.423488
2016-03-12,TN,214.699392
2016-03-12,MI,368.714805
2016-03-12,NM,73.23589
2016-03-12,MN,317.112546
2016-03-12,OH,466.21588
2016-03-12,CA,903.520431
2016-03-12,CO,246.855356
2016-03-12,CT,378.957844
2016-03-12,GA,239.288481
2016-03-12,MD,294.923552
2016-03-19,OH,314.695719
2016-03-19,MI,239.16636
2016-03-19,NM,75.328344
2016-03-19,MN,194.71823
2016-03-19,MD,240.75392
2016-03-19,UT,130.067616
2016-03-19,OR,99.115272
2016-03-19,TN,134.18712
2016-03-19,GA,197.673093
2016-03-19,CO,207.582913
2016-03-19,CT,275.280698
2016-03-19,CA,785.66994
2016-03-26,TN,181.152612
2016-03-26,OR,99.115272
2016-03-26,UT,126.970768
2016-03-26,MD,192.603136
2016-03-26,MN,127.957694
2016-03-26,NM,79.513252
2016-03-26,MI,159.44424
2016-03-26,OH,221.452543
2016-03-26,CT,253.830254
2016-03-26,CO,196.362215
2016-03-26,GA,114.442317
2016-03-26,CA,628.535952
2016-04-02,OH,174.830955
2016-04-02,MI,269.062155
2016-04-02,NM,66.958528
2016-04-02,MN,116.830938
2016-04-02,MD,150.4712
2016-04-02,UT,130.067616
2016-04-02,OR,119.764287
2016-04-02,TN,80.512272
2016-04-02,GA,93.634623
2016-04-02,CO,168.31047
2016-04-02,CT,214.50444
2016-04-02,CA,510.685461
2016-04-09,UT,74.324352
2016-04-09,OR,90.855666
2016-04-09,TN,114.059052
2016-04-09,MD,102.320416
2016-04-09,MI,109.617915
2016-04-09,NM,48.126442
2016-04-09,MN,72.323914
2016-04-09,OH,104.898573
2016-04-09,CA,471.401964
2016-04-09,CO,129.038027
2016-04-09,GA,83.230776
2016-04-09,CT,150.153108
2016-04-16,OH,151.520161
2016-04-16,MI,149.478975
2016-04-16,MN,61.197158
2016-04-16,NM,23.016994
2016-04-16,MD,132.414656
2016-04-16,UT,49.549568
2016-04-16,TN,100.64034
2016-04-16,OR,57.817242
2016-04-16,GA,83.230776
2016-04-16,CT,139.427886
2016-04-16,CO,78.544886
2016-04-16,CA,274.984479
2016-04-23,OR,74.336454
2016-04-23,TN,80.512272
2016-04-23,UT,34.065328
2016-04-23,MD,102.320416
2016-04-23,NM,16.739632
2016-04-23,MN,38.943646
2016-04-23,MI,139.51371
2016-04-23,OH,151.520161
2016-04-23,CA,157.133988
2016-04-23,CO,50.493141
2016-04-23,CT,85.801776
2016-04-23,GA,83.230776
2016-04-30,UT,30.96848
2016-04-30,TN,46.965492
2016-04-30,MD,102.320416
2016-04-30,NM,8.369816
2016-04-30,MN,22.253512
2016-04-30,MI,109.617915
2016-04-30,OH,116.55397
2016-04-30,OR,33.038424
2016-04-30,GA,20.807694
2016-04-30,CA,235.700982
2016-04-30,CT,42.900888
2016-04-30,CO,22.441396
2016-10-08,OH,11.655397
2016-10-08,OR,4.129803
2016-10-08,CA,39.283497
2016-10-08,CO,5.610349
2016-10-08,CT,10.725222
2016-10-08,NM,0
2016-10-08,MI,0
2016-10-08,MN,0
2016-10-08,GA,10.403847
2016-10-08,TN,6.709356
2016-10-08,UT,12.387392
2016-10-08,MD,0
2016-10-15,CA,117.850491
2016-10-15,OH,0
2016-10-15,CO,0
2016-10-15,CT,3.575074
2016-10-15,NM,2.092454
2016-10-15,MI,0
2016-10-15,MN,0
2016-10-15,OR,0
2016-10-15,TN,0
2016-10-15,UT,6.193696
2016-10-15,GA,10.403847
2016-10-15,MD,0
2016-10-22,CO,0
2016-10-22,TN,6.709356
2016-10-22,CA,157.133988
2016-10-22,OR,4.129803
2016-10-22,OH,11.655397
2016-10-22,NM,0
2016-10-22,MI,19.93053
2016-10-22,MN,0
2016-10-22,MD,6.018848
2016-10-22,GA,0
2016-10-22,UT,3.096848
2016-10-22,CT,3.575074
2016-10-29,MN,5.563378
2016-10-29,NM,4.184908
2016-10-29,OH,11.655397
2016-10-29,OR,4.129803
2016-10-29,UT,12.387392
2016-10-29,TN,0
2016-10-29,MI,0
2016-10-29,CA,157.133988
2016-10-29,CO,5.610349
2016-10-29,CT,3.575074
2016-10-29,GA,0
2016-10-29,MD,0
2016-11-05,UT,12.387392
2016-11-05,CT,14.300296
2016-11-05,OR,4.129803
2016-11-05,OH,11.655397
2016-11-05,NM,0
2016-11-05,MI,0
2016-11-05,MN,0
2016-11-05,TN,6.709356
2016-11-05,CA,157.133988
2016-11-05,CO,11.220698
2016-11-05,GA,0
2016-11-05,MD,6.018848
2016-11-12,TN,20.128068
2016-11-12,CO,5.610349
2016-11-12,CA,196.417485
2016-11-12,OR,8.259606
2016-11-12,OH,11.655397
2016-11-12,CT,14.300296
2016-11-12,NM,0
2016-11-12,MI,9.965265
2016-11-12,MN,0
2016-11-12,GA,10.403847
2016-11-12,MD,6.018848
2016-11-12,UT,27.871632
2016-11-19,CA,157.133988
2016-11-19,TN,6.709356
2016-11-19,CO,16.831047
2016-11-19,OH,0
2016-11-19,OR,8.259606
2016-11-19,MN,11.126756
2016-11-19,MI,0
2016-11-19,NM,2.092454
2016-11-19,MD,0
2016-11-19,CT,17.87537
2016-11-19,UT,9.290544
2016-11-19,GA,10.403847
2016-11-26,NM,4.184908
2016-11-26,MI,9.965265
2016-11-26,MN,11.126756
2016-11-26,OR,37.168227
2016-11-26,OH,23.310794
2016-11-26,GA,10.403847
2016-11-26,MD,18.056544
2016-11-26,CA,196.417485
2016-11-26,CO,28.051745
2016-11-26,CT,10.725222
2016-11-26,TN,13.418712
2016-11-26,UT,12.387392
2016-12-03,OR,41.29803
2016-12-03,OH,23.310794
2016-12-03,CT,17.87537
2016-12-03,CO,50.493141
2016-12-03,CA,235.700982
2016-12-03,MN,11.126756
2016-12-03,MI,0
2016-12-03,NM,4.184908
2016-12-03,GA,31.211541
