release_date,location,issue,epiweek,lag,rate_age_0,rate_age_1,rate_age_2,rate_age_3,rate_age_4,rate_overall,week_enddate
2017-02-07,CA,201704,200340,695,0.0,0.0,,,,0.0,2003-10-04
2017-02-07,CA,201704,200341,694,0.0,0.0,,,,0.0,2003-10-11
2017-02-07,CA,201704,200342,693,0.0,0.0,,,,0.0,2003-10-18
2017-02-07,CA,201704,200343,692,0.0,0.0,,,,0.0,2003-10-25
2017-02-07,CA,201704,200344,691,0.0,0.6,,,,0.5,2003-11-01
2017-02-07,CA,201704,200345,690,0.0,0.0,,,,0.0,2003-11-08
2017-02-07,CA,201704,200346,689,0.0,0.0,,,,0.0,2003-11-15
2017-02-07,CA,201704,200347,688,0.0,0.0,,,,0.0,2003-11-22
2017-02-07,CA,201704,200348,687,0.0,0.6,,,,0.5,2003-11-29
2017-02-07,CA,201704,200349,686,5.7,0.0,,,,1.4,2003-12-06
2017-02-07,CA,201704,200350,685,19.0,0.0,,,,4.6,2003-12-13
2017-02-07,CA,201704,200351,684,9.5,0.0,,,,2.3,2003-12-20
2017-02-07,CA,201704,200352,683,5.7,0.6,,,,1.8,2003-12-27
2017-02-07,CA,201704,200353,682,3.8,0.0,,,,0.9,2004-01-03
2017-02-07,CA,201704,200401,681,0.0,0.0,,,,0.0,2004-01-10
2017-02-07,CA,201704,200402,680,0.0,0.0,,,,0.0,2004-01-17
2017-02-07,CA,201704,200403,679,0.0,0.0,,,,0.0,2004-01-24
2017-02-07,CA,201704,200404,678,0.0,0.0,,,,0.0,2004-01-31
2017-02-07,CA,201704,200405,677,0.0,0.0,,,,0.0,2004-02-07
2017-02-07,CA,201704,200406,676,0.0,0.0,,,,0.0,2004-02-14
2017-02-07,CA,201704,200407,675,0.0,0.0,,,,0.0,2004-02-21
2017-02-07,CA,201704,200408,674,0.0,0.0,,,,0.0,2004-02-28
2017-02-07,CA,201704,200409,673,0.0,0.0,,,,0.0,2004-03-06
2017-02-07,CA,201704,200410,672,0.0,0.0,,,,0.0,2004-03-13
2017-02-07,CA,201704,200411,671,0.0,0.0,,,,0.0,2004-03-20
2017-02-07,CA,201704,200412,670,0.0,0.0,,,,0.0,2004-03-27
2017-02-07,CA,201704,200413,669,0.0,0.0,,,,0.0,2004-04-03
2017-02-07,CA,201704,200414,668,0.0,0.0,,,,0.0,2004-04-10
2017-02-07,CA,201704,200415,667,0.0,0.0,,,,0.0,2004-04-17
2017-02-07,CA,201704,200416,666,0.0,0.0,,,,0.0,2004-04-24
2017-02-07,CA,201704,200417,665,0.0,0.0,,,,0.0,2004-05-01
2017-02-07,CA,201704,200440,642,0.0,0.0,,,,0.0,2004-10-09
2017-02-07,CA,201704,200441,641,0.0,0.0,,,,0.0,2004-10-16
2017-02-07,CA,201704,200442,640,0.0,0.0,,,,0.0,2004-10-23
2017-02-07,CA,201704,200443,639,0.0,0.0,,,,0.0,2004-10-30
2017-02-07,CA,201704,200444,638,0.0,0.0,,,,0.0,2004-11-06
2017-02-07,CA,201704,200445,637,0.0,0.0,,,,0.0,2004-11-13
2017-02-07,CA,201704,200446,636,0.0,0.0,,,,0.0,2004-11-20
2017-02-07,CA,201704,200447,635,0.0,0.0,,,,0.0,2004-11-27
2017-02-07,CA,201704,200448,634,0.0,0.0,,,,0.0,2004-12-04
2017-02-07,CA,201704,200449,633,0.0,0.0,,,,0.0,2004-12-11
2017-02-07,CA,201704,200450,632,0.0,0.0,,,,0.0,2004-12-18
2017-02-07,CA,201704,200451,631,0.0,0.0,,,,0.0,2004-12-25
2017-02-07,CA,201704,200452,630,0.0,0.0,,,,0.0,2005-01-01
2017-02-07,CA,201704,200501,629,1.9,0.0,,,,0.5,2005-01-08
2017-02-07,CA,201704,200502,628,1.9,0.6,,,,0.9,2005-01-15
2017-02-07,CA,201704,200503,627,0.0,0.0,,,,0.0,2005-01-22
2017-02-07,CA,201704,200504,626,0.0,0.0,,,,0.0,2005-01-29
2017-02-07,CA,201704,200505,625,0.0,0.0,,,,0.0,2005-02-05
2017-02-07,CA,201704,200506,624,0.0,0.0,,,,0.0,2005-02-12
2017-02-07,CA,201704,200507,623,0.0,0.0,,,,0.0,2005-02-19
2017-02-07,CA,201704,200508,622,0.0,0.0,,,,0.0,2005-02-26
2017-02-07,CA,201704,200509,621,0.0,0.0,,,,0.0,2005-03-05
2017-02-07,CA,201704,200510,620,0.0,0.0,,,,0.0,2005-03-12
2017-02-07,CA,201704,200511,619,0.0,0.0,,,,0.0,2005-03-19
2017-02-07,CA,201704,200512,618,0.0,0.0,,,,0.0,2005-03-26
2017-02-07,CA,201704,200513,617,1.9,0.0,,,,0.5,2005-04-02
2017-02-07,CA,201704,200514,616,0.0,0.0,,,,0.0,2005-04-09
2017-02-07,CA,201704,200515,615,0.0,0.0,,,,0.0,2005-04-16
2017-02-07,CA,201704,200516,614,0.0,0.0,,,,0.0,2005-04-23
2017-02-07,CA,201704,200517,613,0.0,0.0,,,,0.0,2005-04-30
2017-02-07,CA,201704,200540,590,0.9,0.0,0.0,0.0,0.0,0.1,2005-10-08
2017-02-07,CA,201704,200541,589,1.7,0.0,0.0,0.0,0.0,0.2,2005-10-15
2017-02-07,CA,201704,200542,588,0.0,0.0,0.0,0.0,0.0,0.0,2005-10-22
2017-02-07,CA,201704,200543,587,0.0,0.0,0.0,0.0,0.0,0.0,2005-10-29
2017-02-07,CA,201704,200544,586,0.0,0.0,0.0,0.0,0.0,0.0,2005-11-05
2017-02-07,CA,201704,200545,585,0.0,0.0,0.0,0.0,0.0,0.0,2005-11-12
2017-02-07,CA,201704,200546,584,0.0,0.0,0.0,0.0,0.0,0.0,2005-11-19
2017-02-07,CA,201704,200547,583,1.7,0.0,0.0,0.0,0.0,0.2,2005-11-26
2017-02-07,CA,201704,200548,582,0.9,0.0,0.0,0.0,0.0,0.1,2005-12-03
2017-02-07,CA,201704,200549,581,1.7,0.0,0.0,0.0,0.8,0.3,2005-12-10
2017-02-07,CA,201704,200550,580,0.9,0.0,0.0,0.0,0.0,0.1,2005-12-17
2017-02-07,CA,201704,200551,579,7.0,0.0,0.0,0.5,2.4,1.1,2005-12-24
2017-02-07,CA,201704,200552,578,7.8,0.0,0.0,0.5,2.4,1.2,2005-12-31
2017-02-07,CA,201704,200601,577,4.4,0.0,0.0,0.5,0.8,0.7,2006-01-07
2017-02-07,CA,201704,200602,576,3.5,0.0,0.0,0.0,0.8,0.5,2006-01-14
2017-02-07,CA,201704,200603,575,2.6,0.0,0.0,0.0,0.0,0.3,2006-01-21
2017-02-07,CA,201704,200604,574,2.6,0.0,0.2,0.5,0.8,0.6,2006-01-28
2017-02-07,CA,201704,200605,573,2.6,0.0,0.0,0.0,0.0,0.3,2006-02-04
2017-02-07,CA,201704,200606,572,1.7,0.0,0.0,0.0,0.8,0.3,2006-02-11
2017-02-07,CA,201704,200607,571,2.6,0.0,0.0,0.0,0.0,0.3,2006-02-18
2017-02-07,CA,201704,200608,570,4.4,0.0,0.0,0.0,0.0,0.5,2006-02-25
2017-02-07,CA,201704,200609,569,0.9,0.0,0.0,0.0,0.0,0.1,2006-03-04
2017-02-07,CA,201704,200610,568,1.7,0.0,0.0,0.0,0.0,0.2,2006-03-11
2017-02-07,CA,201704,200611,567,0.0,0.0,0.0,0.0,0.0,0.0,2006-03-18
2017-02-07,CA,201704,200612,566,1.7,0.0,0.0,0.0,0.0,0.2,2006-03-25
2017-02-07,CA,201704,200613,565,0.9,0.0,0.0,0.0,0.0,0.1,2006-04-01
2017-02-07,CA,201704,200614,564,1.7,0.0,0.0,0.0,0.0,0.2,2006-04-08
2017-02-07,CA,201704,200615,563,1.7,0.0,0.0,0.0,0.0,0.2,2006-04-15
2017-02-07,CA,201704,200616,562,0.9,0.0,0.0,0.0,0.0,0.1,2006-04-22
2017-02-07,CA,201704,200617,561,0.0,0.0,0.0,0.0,0.0,0.0,2006-04-29
2017-02-07,CA,201704,200640,538,0.0,0.0,0.0,0.0,0.0,0.0,2006-10-07
2017-02-07,CA,201704,200641,537,0.0,0.0,0.0,0.0,0.0,0.0,2006-10-14
2017-02-07,CA,201704,200642,536,0.0,0.0,0.0,0.0,0.0,0.0,2006-10-21
2017-02-07,CA,201704,200643,535,0.0,0.0,0.0,0.0,0.0,0.0,2006-10-28
2017-02-07,CA,201704,200644,534,0.5,0.0,0.0,0.0,0.0,0.0,2006-11-04
2017-02-07,CA,201704,200645,533,0.0,0.0,0.0,0.0,0.0,0.0,2006-11-11
2017-02-07,CA,201704,200646,532,0.0,0.0,0.0,0.0,0.0,0.0,2006-11-18
2017-02-07,CA,201704,200647,531,0.0,0.0,0.0,0.0,0.0,0.0,2006-11-25
2017-02-07,CA,201704,200648,530,0.5,0.0,0.0,0.0,0.3,0.1,2006-12-02
2017-02-07,CA,201704,200649,529,0.0,0.0,0.0,0.0,0.0,0.0,2006-12-09
2017-02-07,CA,201704,200650,528,0.0,0.0,0.0,0.0,0.0,0.0,2006-12-16
2017-02-07,CA,201704,200651,527,0.0,0.2,0.0,0.0,0.3,0.1,2006-12-23
2017-02-07,CA,201704,200652,526,1.5,0.0,0.0,0.0,0.0,0.1,2006-12-30
2017-02-07,CA,201704,200701,525,0.5,0.0,0.1,0.5,0.0,0.2,2007-01-06
2017-02-07,CA,201704,200702,524,0.5,0.0,0.0,0.0,0.5,0.1,2007-01-13
2017-02-07,CA,201704,200703,523,1.0,0.4,0.0,0.2,0.3,0.2,2007-01-20
2017-02-07,CA,201704,200704,522,2.0,0.6,0.2,0.2,0.5,0.4,2007-01-27
2017-02-07,CA,201704,200705,521,3.0,0.2,0.4,0.2,1.1,0.6,2007-02-03
2017-02-07,CA,201704,200706,520,4.6,0.2,0.1,0.3,0.8,0.5,2007-02-10
2017-02-07,CA,201704,200707,519,5.1,0.6,0.1,0.9,0.3,0.6,2007-02-17
2017-02-07,CA,201704,200708,518,2.5,0.4,0.1,0.0,0.8,0.4,2007-02-24
2017-02-07,CA,201704,200709,517,0.0,0.4,0.1,0.0,1.1,0.2,2007-03-03
2017-02-07,CA,201704,200710,516,0.0,0.0,0.0,0.2,0.8,0.1,2007-03-10
2017-02-07,CA,201704,200711,515,0.0,0.0,0.0,0.0,0.3,0.0,2007-03-17
2017-02-07,CA,201704,200712,514,0.5,0.0,0.0,0.0,0.5,0.1,2007-03-24
2017-02-07,CA,201704,200713,513,0.0,0.0,0.0,0.0,0.0,0.0,2007-03-31
2017-02-07,CA,201704,200714,512,0.0,0.0,0.0,0.0,0.0,0.0,2007-04-07
2017-02-07,CA,201704,200715,511,0.0,0.0,0.0,0.0,0.0,0.0,2007-04-14
2017-02-07,CA,201704,200716,510,0.0,0.0,0.0,0.0,0.0,0.0,2007-04-21
2017-02-07,CA,201704,200717,509,0.0,0.0,0.0,0.0,0.0,0.0,2007-04-28
2017-02-07,CA,201704,200740,486,0.0,0.0,0.0,0.0,0.0,0.0,2007-10-06
2017-02-07,CA,201704,200741,485,0.0,0.0,0.0,0.0,0.0,0.0,2007-10-13
2017-02-07,CA,201704,200742,484,0.0,0.0,0.0,0.0,0.0,0.0,2007-10-20
2017-02-07,CA,201704,200743,483,0.0,0.0,0.0,0.0,0.0,0.0,2007-10-27
2017-02-07,CA,201704,200744,482,0.5,0.0,0.0,0.0,0.0,0.0,2007-11-03
2017-02-07,CA,201704,200745,481,0.0,0.0,0.0,0.0,0.0,0.0,2007-11-10
2017-02-07,CA,201704,200746,480,0.5,0.0,0.0,0.0,0.0,0.0,2007-11-17
2017-02-07,CA,201704,200747,479,0.5,0.0,0.0,0.0,0.0,0.0,2007-11-24
2017-02-07,CA,201704,200748,478,0.0,0.0,0.0,0.0,0.0,0.0,2007-12-01
2017-02-07,CA,201704,200749,477,0.5,0.0,0.0,0.0,0.3,0.1,2007-12-08
2017-02-07,CA,201704,200750,476,0.5,0.0,0.0,0.0,0.0,0.0,2007-12-15
2017-02-07,CA,201704,200751,475,1.5,0.2,0.0,0.2,0.0,0.2,2007-12-22
2017-02-07,CA,201704,200752,474,2.0,0.0,0.1,0.0,0.0,0.2,2007-12-29
2017-02-07,CA,201704,200801,473,1.0,0.2,0.2,0.0,0.5,0.2,2008-01-05
2017-02-07,CA,201704,200802,472,1.0,0.2,0.1,0.0,0.3,0.2,2008-01-12
2017-02-07,CA,201704,200803,471,0.5,0.0,0.1,0.0,1.6,0.3,2008-01-19
2017-02-07,CA,201704,200804,470,1.0,0.6,0.3,0.0,1.6,0.5,2008-01-26
2017-02-07,CA,201704,200805,469,2.0,0.2,0.3,0.3,2.1,0.6,2008-02-02
2017-02-07,CA,201704,200806,468,2.0,0.8,0.3,0.8,3.4,1.0,2008-02-09
2017-02-07,CA,201704,200807,467,5.0,0.6,0.5,0.0,4.7,1.2,2008-02-16
2017-02-07,CA,201704,200808,466,4.5,0.4,0.1,1.5,4.2,1.2,2008-02-23
2017-02-07,CA,201704,200809,465,2.0,0.6,0.6,0.3,4.5,1.1,2008-03-01
2017-02-07,CA,201704,200810,464,3.5,0.2,0.2,0.7,5.0,1.0,2008-03-08
2017-02-07,CA,201704,200811,463,3.5,0.4,0.1,0.5,3.9,0.9,2008-03-15
2017-02-07,CA,201704,200812,462,1.5,0.0,0.1,1.0,3.4,0.7,2008-03-22
2017-02-07,CA,201704,200813,461,0.0,0.0,0.1,0.0,1.3,0.2,2008-03-29
2017-02-07,CA,201704,200814,460,1.0,0.0,0.1,0.3,1.6,0.3,2008-04-05
2017-02-07,CA,201704,200815,459,0.0,0.2,0.0,0.2,0.3,0.1,2008-04-12
2017-02-07,CA,201704,200816,458,1.0,0.0,0.0,0.2,1.0,0.2,2008-04-19
2017-02-07,CA,201704,200817,457,0.5,0.0,0.0,0.2,0.8,0.2,2008-04-26
2017-02-07,CA,201704,200840,434,0.0,0.0,0.0,0.0,0.0,0.0,2008-10-04
2017-02-07,CA,201704,200841,433,0.0,0.0,0.0,0.0,0.0,0.0,2008-10-11
2017-02-07,CA,201704,200842,432,0.0,0.0,0.0,0.0,0.0,0.0,2008-10-18
2017-02-07,CA,201704,200843,431,1.0,0.0,0.0,0.0,0.0,0.1,2008-10-25
2017-02-07,CA,201704,200844,430,0.0,0.0,0.0,0.0,0.0,0.0,2008-11-01
2017-02-07,CA,201704,200845,429,0.0,0.0,0.0,0.0,0.3,0.0,2008-11-08
2017-02-07,CA,201704,200846,428,0.5,0.0,0.0,0.0,0.0,0.0,2008-11-15
2017-02-07,CA,201704,200847,427,1.0,0.0,0.0,0.0,0.0,0.1,2008-11-22
2017-02-07,CA,201704,200848,426,0.0,0.0,0.0,0.0,0.3,0.0,2008-11-29
2017-02-07,CA,201704,200849,425,0.0,0.0,0.0,0.0,0.0,0.0,2008-12-06
2017-02-07,CA,201704,200850,424,0.5,0.0,0.1,0.0,0.0,0.1,2008-12-13
2017-02-07,CA,201704,200851,423,0.5,0.0,0.0,0.0,0.0,0.0,2008-12-20
2017-02-07,CA,201704,200852,422,0.5,0.0,0.1,0.0,0.0,0.1,2008-12-27
