week_enddate,location_code,value,fluseason_fraction,season_week,fluseason
2025-05-10,30,0.0,0.7726027397260274,41,2024
2023-12-30,31,51.0,0.4136986301369863,22,2023
2022-11-26,32,265.0,0.32054794520547947,17,2022
2023-03-11,32,3.0,0.6082191780821918,32,2022
2025-04-26,55,33.0,0.7342465753424657,39,2024
2022-12-10,06,2435.0,0.3589041095890411,19,2022
2025-05-03,06,241.0,0.7534246575342466,40,2024
2022-08-27,09,8.0,0.07123287671232877,4,2022
2023-03-04,09,10.0,0.589041095890411,31,2022
2023-12-02,09,57.0,0.336986301369863,18,2023
2025-03-15,16,99.0,0.6191780821917808,33,2024
2024-02-10,26,664.0,0.5287671232876713,28,2023
2022-05-28,30,14.0,0.821917808219178,43,2021
2023-05-13,33,1.0,0.7808219178082192,41,2022
2022-09-17,32,8.0,0.12876712328767123,7,2022
2023-12-02,32,45.0,0.336986301369863,18,2023
2023-06-24,06,27.0,0.8958904109589041,47,2022
2024-08-03,06,31.0,0.005479452054794521,1,2024
2022-12-31,09,241.0,0.41643835616438357,22,2022
2023-05-20,26,13.0,0.8,42,2022
2022-07-09,37,15.0,0.936986301369863,49,2021
2024-02-10,37,174.0,0.5287671232876713,28,2023
2024-11-02,37,14.0,0.2547945205479452,14,2024
2025-01-25,37,1582.0,0.4849315068493151,26,2024
2024-12-28,33,53.0,0.40821917808219177,22,2024
2024-11-16,32,43.0,0.29315068493150687,16,2024
2023-06-24,55,1.0,0.8958904109589041,47,2022
2024-09-14,55,0.0,0.12054794520547946,7,2024
2024-09-07,09,2.0,0.10136986301369863,6,2024
2024-02-24,16,90.0,0.5671232876712329,30,2023
2023-04-01,26,17.0,0.6657534246575343,35,2022
2024-04-06,31,54.0,0.6821917808219178,36,2023
2023-03-11,33,4.0,0.6082191780821918,32,2022
2023-07-22,32,7.0,0.9726027397260274,51,2022
2024-11-09,06,159.0,0.273972602739726,15,2024
2022-04-23,09,52.0,0.726027397260274,38,2021
2025-04-12,09,39.0,0.6958904109589041,37,2024
2023-05-27,16,2.0,0.8191780821917808,43,2022
2024-02-03,30,85.0,0.5095890410958904,27,2023
2022-11-26,37,430.0,0.32054794520547947,17,2022
2022-09-17,33,3.0,0.12876712328767123,7,2022
2023-10-28,33,2.0,0.2410958904109589,13,2023
2024-08-17,33,0.0,0.043835616438356165,3,2024
2023-09-16,32,0.0,0.12602739726027398,7,2023
2024-03-09,55,197.0,0.6054794520547945,32,2023
2023-12-02,06,683.0,0.336986301369863,18,2023
2024-09-21,09,0.0,0.13972602739726028,8,2024
2023-08-12,16,3.0,0.030136986301369864,2,2023
2023-12-09,16,46.0,0.3561643835616438,19,2023
2024-04-27,16,16.0,0.7397260273972602,39,2023
2024-04-13,30,9.0,0.7013698630136986,37,2023
2025-02-22,30,195.0,0.5616438356164384,30,2024
2024-02-17,37,179.0,0.547945205479452,29,2023
2024-05-25,31,0.0,0.8164383561643835,43,2023
2023-04-22,33,1.0,0.7232876712328767,38,2022
2023-09-30,32,3.0,0.1643835616438356,9,2023
