abbreviation,location_name,population,location_code,geoid
US,US,334914895,US,US000
AL,Alabama,5108468,01,01000
AK,Alaska,733406,02,02000
AZ,Arizona,7431344,04,04000
AR,Arkansas,3067732,05,05000
CA,California,38965193,06,06000
CO,Colorado,5877610,08,08000
CT,Connecticut,3617176,09,09000
DE,Delaware,1031890,10,10000
DC,District of Columbia,678972,11,11000
FL,Florida,22610726,12,12000
GA,Georgia,11029227,13,13000
HI,Hawaii,1435138,15,15000
ID,Idaho,1964726,16,16000
IL,Illinois,12549689,17,17000
IN,Indiana,6862199,18,18000
IA,Iowa,3207004,19,19000
KS,Kansas,2940546,20,20000
KY,Kentucky,4526154,21,21000
LA,Louisiana,4573749,22,22000
ME,Maine,1395722,23,23000
MD,Maryland,6180253,24,24000
MA,Massachusetts,7001399,25,25000
MI,Michigan,10037261,26,26000
MN,Minnesota,5737915,27,27000
MS,Mississippi,2939690,28,28000
MO,Missouri,6196156,29,29000
MT,Montana,1132812,30,30000
NE,Nebraska,1978379,31,31000
NV,Nevada,3194176,32,32000
NH,New Hampshire,1402054,33,33000
NJ,New Jersey,9290841,34,34000
NM,New Mexico,2114371,35,35000
NY,New York,19571216,36,36000
NC,North Carolina,10835491,37,37000
ND,North Dakota,783926,38,38000
OH,Ohio,11785935,39,39000
OK,Oklahoma,4053824,40,40000
OR,Oregon,4233358,41,41000
PA,Pennsylvania,12961683,42,42000
RI,Rhode Island,1095962,44,44000
SC,South Carolina,5373555,45,45000
SD,South Dakota,919318,46,46000
TN,Tennessee,7126489,47,47000
TX,Texas,30503301,48,48000
UT,Utah,3417734,49,49000
VT,Vermont,647464,50,50000
VA,Virginia,8715698,51,51000
WA,Washington,7812880,53,53000
WV,West Virginia,1770071,54,54000
WI,Wisconsin,5910955,55,55000
WY,Wyoming,584057,56,56000
PR,Puerto Rico,3205691,72,72000
